,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Segment,age,age_group
0,1,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,060 Morning Avenue,2016,NSW,Australia,10,Platinum,64,60-69
1,2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,Yes,16.0,6 Meadow Vale Court,2153,NSW,Australia,10,Bronze,37,30-39
2,4,Talbot,Calton,Male,33,1961-10-03,Senior Editor,IT,Mass Customer,N,No,7.0,0 Holy Cross Court,4211,QLD,Australia,9,Bronze,56,50-59
3,5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,IT,Affluent Customer,N,Yes,8.0,17979 Del Mar Point,2448,NSW,Australia,4,Gold,40,40-49
4,6,Curr,Duckhouse,Male,35,1966-09-16,Media Manager I,Retail,High Net Worth,N,Yes,13.0,9 Oakridge Court,3216,VIC,Australia,9,Silver,51,50-59
5,7,Fina,Merali,Female,6,1976-02-23,Media Manager I,Financial Services,Affluent Customer,N,Yes,11.0,4 Delaware Trail,2210,NSW,Australia,9,Bronze,41,40-49
6,8,Rod,Inder,Male,31,1962-03-30,Media Manager I,Financial Services,Mass Customer,N,No,7.0,49 Londonderry Lane,2650,NSW,Australia,4,Platinum,55,50-59
7,9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8.0,97736 7th Trail,2023,NSW,Australia,12,Silver,44,40-49
8,11,Uriah,Bisatt,Male,99,1954-04-30,Nuclear Power Engineer,Property,Mass Customer,N,No,9.0,93405 Ludington Park,3044,VIC,Australia,8,Gold,63,60-69
9,12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8.0,44339 Golden Leaf Alley,4557,QLD,Australia,4,Gold,23,20-29
10,13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,Yes,8.0,2 Sutherland Street,3799,VIC,Australia,6,Gold,62,60-69
11,14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,No,6.0,9 Mcbride Trail,2760,NSW,Australia,8,Bronze,34,30-39
12,15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,No,1.0,9861 New Castle Avenue,2428,NSW,Australia,9,Silver,17,<20
13,16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,Manufacturing,Mass Customer,N,Yes,18.0,52 Moland Street,3331,VIC,Australia,4,Gold,40,40-49
14,17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,Manufacturing,Affluent Customer,N,Yes,15.0,82391 Kensington Lane,3058,VIC,Australia,9,Silver,55,50-59
15,18,Marjie,Neasham,Female,79,1967-07-06,Professor,Manufacturing,Affluent Customer,N,No,11.0,092 2nd Alley,2135,NSW,Australia,12,Platinum,50,50-59
16,19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,No,1.0,59 Spaight Circle,2233,NSW,Australia,9,Bronze,16,<20
17,20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,No,11.0,032 Bartelt Crossing,2444,NSW,Australia,8,Silver,37,30-39
18,21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16.0,18 Jenna Center,2650,NSW,Australia,7,Gold,37,30-39
19,24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,3 Cordelia Plaza,2153,NSW,Australia,10,Gold,40,40-49
